Latin,"Translation 1","Translation 2","Translation 3","Translation 4","Translation 5","Translation 6","Translation 7","Translation 8","Translation 9","Translation 10","Translation 11"
"nātūra nihil agit frustrā.","Nature leads nothing in vain.","Nature leads nothing without purpose.","Nature does nothing in vain.","Nature does nothing without purpose.","Nothing nature leads is in vain.","Nothing nature leads is without purpose.","Nothing nature does is in vain.","Nothing nature does is without purpose.","Nature drives nothing in vain.","Nature drives nothing without purpose.",
"ī domum et suspende tē!","Go home and hang yourself!","Go to your home and hang yourself!",,,,,,,,,
"quī scrībit, bis legit.","He who writes, reads twice.","She who writes, reads twice.","He who is writing, is reading twice.","She who is writing, is reading twice.","He who writes, he reads twice.","She who writes, she reads twice. ","He who is writing, he is reading twice.","She who is writing, she is reading twice.",,,
"in aquā scrībis.","You write in water.","In water you write.","You are writing in water.","You do write in water. ","In water you are writing.","In water you do write.",,,,,
"quod scrīpsī, scrīpsī.","I wrote that which I wrote.","I wrote what I wrote.","I have written what I have written.","I have written that which I have written.","What I wrote, I wrote.","That which I wrote, I wrote.","What I have written, I have written","That which I have written, I have written.",,,
"hodiē quid ēgistī?","What did you do today?","You did what today?","What have you done today?","You have done what today?","What did you lead today?","You led what today?","What have you led today?","You have led what today?","What did you drive today?","What did you act today?",
"nōlī mē fugĕre!","Do not flee me!","Don't flee me!","Do not escape me!","Don't escape me!","Do not avoid me!","Don't avoid me!","Do not shun me!","Don't shun me!",,,
"vītam bene vīve!","Live life well!","Live life satisfactorily!",,,,,,,,,
"puellae eum cēpērunt.","The girls captured him.","Girls captured him.","The girls have captured him.","Girls have captured him.","The girls took him.","The girls have taken him.","The girls caught him.","The girls have caught him.","The girls seized him.","The girls have seized him.",
"Caesar Rōmam iit.","Caesar went to Rome.","Caesar has gone to Rome.","To Rome, Caesar went.","To Rome, Caesar has gone.",,,,,,,
"nōlī aquam bibĕre!","Do not drink the water!","Don't drink the water!","Do not drink water!","Don't drink water!",,,,,,,
"verba nōn dīximus, sed facta fēcimus.","We did not say the words, but we made the deeds.","We did not say words, but we made deeds.","We did not say the words, but we made the facts.","We did not say words, but we made facts.","We did not say words, but we did deeds.","We have not said words, but we have done deeds.","We did not speak words, but we did deeds.","We have not spoken words, but we have done deeds. ","We did not say words, but we accomplished deeds.","We have not said words, but we have accomplished deeds. ",
"virī perīcula fūgērunt.","The men fled the danger.","Men fled danger.","The men have fled the danger.","Men have fled danger.","The men escaped danger.","Men escaped danger.","The men have escaped danger.","Men have escaped danger.","The men fled the dangers.","The men have fled the dangers. ",
"aquam bibimus, sed vīnum bibitis.","We are drinking water, but you are drinking wine.","We drink water, but you drink wine.","We are drinking water, but you drink wine.","We drink water, but you are drinking wine.","We are drinking water, yet you are drinking wine.","We drink water, yet you drink wine.","We are drinking water, yet you drink wine.","We drink water, yet you are drinking wine.","We drank water, but you drink wine.","We have drunk water, but you drink wine.",
"nōlīte sententiās scrībĕre!","Don't write thoughts!","Don't write opinions!","Don't write your thoughts!","Don't write your opinions!","Don't write ideas!","Don't write your ideas!","Don't write sentences!","Don't write your sentences!","Do not write sentences!","Do not write ideas!",
"fēminās et virōs cēpistis.","You took women and men.","You caught women and men.","You captured women and men.","You seized women and men.","You got women and men.","You have taken women and men.","You have caught women and men.","You have seized women and men.","You have captured women and men.","You have gotten women and men.",
"sententiās legimus sed sapientiam scrībimus.","We read opinions but we write wisdom.","We read judgements but we write wisdom.","We read ideas but we write wisdom.","We read opinions but write wisdom.","We read judgements but write wisdom.","We read ideas but write wisdom.","We are reading opinions but are writing wisdom.","We are reading judgments but are writing wisdom.","We are reading ideas but are writing wisdom.","We are reading opinions but we are writing wisdom.",
"sapientia mē dūcit, sed īra eum dūcit.","Wisdom leads me, but rage leads him.","Wisdom is leading me, but rage is leading him.","Wisdom leads me, but rage is leading him.","Wisdom is leading me, but rage leads him.","Wisdom leads me, but the rage leads him.","Wisdom is leading me, but the rage is leading him.","Wisdom leads me, but the rage is leading him.","Wisdom is leading me, but the rage leads him.","Wisdom leads me, but anger leads him.","Wisdom is leading me, but anger is leading him. ",
"nōlīte domum īre!","Don't go home!","Do not go home!","Don't go homewards!","Do not go homewards!",,,,,,,
"quō mē dūcis?","Where do you lead me?","Where are you leading me?","You lead me where?","To where do you lead me?","To where are you leading me?","You lead me to where?","You are leading me where?","You are leading me to where?",,,
"puerīne virōs fugiunt?","Are the boys fleeing the men?","The boys are fleeing the men?","Do the boys flee the men?","Are the boys fleeing men?","The boys are fleeing men?","Do the boys flee men?","Are the boys avoiding the men?","The boys are avoiding the men?","Do the boys avoid the men?","Are the boys shunning the men?",
"mē audīte!","Listen to me!","Hear me!",,,,,,,,,
"poētae Rōmam vēnērunt.","The poets came to Rome.","The poets have come to Rome.","To Rome, the poets came.","To Rome, the poets have come.","Poets came to Rome.","Poets have come to Rome.","To Rome, poets came.","To Rome, poets have come.",,,
"nautam poeta nōn interfēcit","The poet did not kill the sailor.","The poet didn't kill the sailor.","The poet has not killed the sailor.","The poet hasn't killed the sailor.",,,,,,,
"caecus caecum dūcit.","The blind lead the blind.","The blind man leads the blind man.","The blind man is leading the blind man.","The blind leads the blind.","The blind are leading the blind.","A blind man leads a blind man.","A blind man is leading a blind man.","The blind man leads a blind man.","The blind man is leading a blind man.","A blind man leads the blind man. ",
"vīnum incendit īram.","Wine inflames rage.","Wine is inflaming rage.","Wine inflames anger.","Wine is inflaming anger.","Wine inflames ire.","Wine is inflaming ire.","The wine is inflaming the rage.","The wine is inflaming the anger.","The wine is inflaming the anger.","The wine inflames anger.",
"librōs lege!","Read books!","Choose books!","Gather books!","Read the books!","Choose the books!","Gather the books!",,,,,
"facta, nōn verba.","Actions, not words.","Deeds, not words.","Acts, not words.","Accomplishments, not words.","Facts, not words.",,,,,,
"vīvite et bibite!","Live and drink!","Drink and live!","Be alive and drink!","Drink and be alive!",,,,,,,
"fugit hōra.","The hour flees.","The hour escapes.","The hour is fleeing.","The hour is escaping.","Time flees.","Time is fleeing.","Time escapes.","Time is escaping.","Time flies.","An hour flies. ",
"quod cupis, capis.","That which you desire, you seize.","What you desire, you seize.","You seize what you desire.","You seize that which you desire.","You capture that which you desire.","You capture what you desire.","You get that which you desire.","You get what you desire.","You take that which you desire.","You take what you desire.",
"sum, ergō bibō; bibō, ergō sum.","I am, therefore I drink; I drink, therefore I am.","I am, therefore I am drinking; I am drinking, therefore I am.",,,,,,,,,
"vīnum verba ministrat.","Wine helps words.","Wine is helping words.","The wine helps the words.","The wine is helping the words.","Wine helps with words. ","Wine is helping with words. ","The wine helps with the words.","The wine is helping with the words. ","The wine helps with words.","The wine is helping with words. ",
"verba poētārum audīvimus.","We heard the words of the poets.","We heard words of poets.","We heard the words of poets.","We heard words of the poets.","We listened to the words of the poets.","We listened to words of poets.","We listened to the words of poets.","We listened to words of the poets.","We have heard the words of the poets.","We have listened to the words of the poets. ",
"nōlī sententiās nautārum audīre!","Do not listen to the opinions of sailors!","Don't listen to the opinions of sailors!","Do not listen to the judgements of sailors!","Don't listen to the judgments of sailors!","Do not listen to the ideas of sailors!","Don't listen to the ideas of sailors!","Do not listen to the sentences of sailors!","Don't listen to the sentences of sailors!","Do not hear the opinions of sailors!","Don't hear the opinions of sailors!",
"puerīne īram virōrum fugiunt?","Are the boys fleeing the anger of the men?","Do the boys flee the anger of the men?","The boys are fleeing the anger of the men?","Are the boys avoiding the anger of the men?","Do the boys avoid the anger of the men?","The boys are avoiding the anger of the men?","Are the boys fleeing the rage of the men?","Do the boys flee the rage of the men?","The boys are fleeing the rage of the men?","Are the boys avoiding the rage of the men?",
"librōs poētārum legite!","Read the books of the poets!","Read books of poets!","Read the books of poets!","Read books of the poets!","Read the poets' books!","Read poets' books!","Choose the books of the poets!","Choose books of poets!","Choose the books of poets!","Choose books of the poets!",
"nōlī verba īrae dīcĕre!","Do not say the words of anger!","Don't say the words of anger!","Do not say words of anger!","Don't say words of anger!","Do not speak the words of anger!","Don't speak the words of anger!","Do not speak words of anger!","Don't speak words of anger!","Do not say anger's words!","Do not speak anger's words!",
"puella oculōs fēminae tetigit.","The girl touched the eyes of the woman.","The girl has touched the eyes of the woman.","The girl touched the woman's eyes.","The girl has touched the woman's eyes.","A girl touched the eyes of a woman.","A girl has touched the eyes of a woman.","A girl touched a woman's eyes.","A girl has touched a woman's eyes.",,,
"verba sapientiae audīte!","Hear the words of wisdom!","Hear words of wisdom!","Hear the wisdom's words!","Hear wisdom's words!","Listen to the words of wisdom!","Listen to words of wisdom!","Listen to the wisdom's words!","Listen to wisdom's words!","Hear the words of discernment!","Listen to the words of discernment!",
"aquam populī bibimus.","We drink the water of the people.","We drink water of people.","We drink the water of people.","We drink water of the people.","We drink the people's water.","We drink the water of the nation.","We drink water of the nation.","We drink the nation's water.","We are drinking the water of the people.","We are drinking the people's water.",
"virī verba sapientiae scrībunt, puerī legunt.","The men write the words of wisdom, the boys read.","The men write words of wisdom, the boys read.","The men write the words of wisdom, the boys read the words of wisdom.","The men write words of wisdom, the boys read words of wisdom.","The men write wisdom's words, the boys read.","The men write wisdom's words, the boys read wisdom's words.","Men write words of wisdom, boys read.","Men write the words of wisdom, boys read.","The men are writing words of wisdom, the boys are reading.","Men are writing words of wisdom, boys are reading.",
"natūram periculī intellēximus et id fūgimus.","We understood the nature of danger and we flee it.","We understood danger's nature and we flee it.","We understood the nature of danger and we fled it.","We understood danger's nature and we fled it.","We understood the nature of danger and we avoided it.","We understood danger's nature and we avoided it.","We understood the nature of danger and we escaped it.","We understood danger's nature and we escaped it.","We understood the nature of the danger and we flee it.","We understood the nature of the danger and we fled it.",
"labor famae pater est.","Work is the father of fame.","Labour is the father of fame.","Work is the father of reputation.","Labour is the father of reputation.","Work is fame's father.","Labour is fame's father.","Work is reputation's father.","Labour is reputation's father.","Labor is the father of fame.","Labor is the father of reputation.",
"maximum remedium irae mora est.","The greatest remedy of anger is delay.","Delay is the greatest remedy of anger.","Anger's greatest remedy is delay.","Delay is anger's greatest remedy.","The greatest remedy of rage is delay.","Delay is the greatest remedy of rage.","Rage's greatest remedy is delay.","Delay is rage's greatest remedy.","The greatest remedy of ire is delay.","Ire's greatest remedy is delay.",
"dōna natūrae prō populō sunt.","The gifts of nature are for the people.","Nature's gifts are for the people.","The gifts of nature are for the nation.","Nature's gifts are for the nation.","Gifts of nature are for the people.","Gifts of nature are for people.","Gifts of nature are for the nation.","Gifts of nature are for a nation.",,,
"silentium est signum sapientiae, et loquācitas est signum stultitiae.","Silence is a sign of wisdom, and talkativeness is a sign of foolishness.","Talkativeness is a sign of foolishness, and silence is a sign of wisdom.","Silence is wisdom's sign, and talkativeness is foolishness's sign.","Talkativeness is foolishness's sign, and silence is wisdom's sign.","The sign of wisdom is silence, and the sign of foolishness is talkativeness.","The sign of foolishness is talkativeness, and the sign of wisdom is silence.","Wisdom's sign is silence, and foolishness's sign is talkativeness.","Foolishness's sign is talkativeness, and wisdom's sign is silence.","Silence is the sign of wisdom, and talkativeness is the sign of foolishness. ","Silence is a sign of discernment, and talkativeness is a sign of foolishness.",
"sapientia vītae meditātio est.","The wisdom of life is contemplation.","Wisdom of life is contemplation.","Contemplation is the wisdom of life.","Life's wisdom is contemplation.","Contemplation is life's wisdom.","The discernment of life is contemplation.","Discernment of life is contemplation.","Contemplation is the discernment of life.","Life's discernment is contemplation.","Contemplation is life's discernment.",
"nātūra nōs amīcōs fēcit.","Nature made us friends.","The nature made us friends.","Nature has made us friends.","The nature has made us friends.",,,,,,,
"stultōrum infinitus est numerus.","The number of fools is infinite.","Fools' number is infinite.","The number of fools is unlimited.","Fools' number is unlimited.","Infinite is the number of fools.","Unlimited is the number of fools.",,,,,
"vītam regit fortūna, nōn sapientia.","Fortune rules life, not wisdom.","Luck rules life, not wisdom.","Fortune directs life, not wisdom.","Luck directs life, not wisdom.","Fortune rules life, wisdom does not rule life.","Luck rules life, wisdom does not rule life.","Fortune directs life, wisdom does not direct life.","Luck directs life, wisdom does not direct life.","Luck rules life, not discernment.","Luck directs like, not discernment.",
"quandō bibō vīnum, dīcō Latīnum; quandō cervisiam, dīcō stultitiam.","When I drink wine, I speak Latin; when I drink beer, I speak foolishness.","When I drink wine, I say Latin; when I drink beer, I say foolishness.","When I drink beer, I speak foolishness; when I drink wine, I speak Latin.","When I drink beer, I say foolishness; when I drink wine, I say Latin.","When I am drinking wine, I speak Latin; when I am drinking beer, I speak foolishness.","When I am drinking wine, I say Latin; when I am drinking beer, I say foolishness.","When I am drinking beer, I speak foolishness; when I am drinking wine, I speak Latin.","When I am drinking beer, I say foolishness; when I am drinking wine, I say Latin.","When I drink wine, I speak Latin; when I drink beer, I say foolishness.","When I am drinking wine, I speak Latin; when I am drinking beer, I say foolishness.",
"ignōrantia iūris nōn excusat; ignōrantia factōrum excusat.","Ignorance of the law does not excuse; ignorance of the facts excuses.","Ignorance of the facts excuses; ignorance of the law does not excuse.","Ignorance of the law does not excuse; ignorance of the deeds excuses.","Ignorance of the deeds excuses; ignorance of the law does not excuse.","Ignorance of the law does not excuse; ignorance of facts excuses.","Ignorance of the law does not excuse; ignorance of deeds excuses.","Ignorance of the law does not excuse; ignorance of the acts excuses.","Ignorance of the law does not excuse; ignorance of acts excuses.","Ignorance of a law does not excuse; ignorance of facts excuses.","Ignorance of a law does not excuse; ignorance of deeds excuses.",
"medicina est soror philosophiae.","Medicine is the sister of philosophy.","The sister of philosophy is medicine.","Medicine is philosophy's sister.","Philosophy's sister is medicine.","Philosophy is the sister of medicine.","The sister of medicine is philosophy.","Philosophy is medicine's sister.","Medicine's sister is philosophy.","Medicine is a sister of philosophy.","A sister of philosophy is medicine.",
"stultitia soror est malitiae.","Foolishness is the sister of malice.","The sister of malice is foolishness.","Foolishness is malice's sister.","Malice's sister is foolishness.","Malice is the sister of foolishness.","The sister of foolishness is malice.","Malice is foolishness's sister.","Foolishness's sister is malice.","A sister of malice is foolishness.","Foolishness is a sister of malice.",
"repetītio est māter memoriae.","Repetition is the mother of memory.","The mother of memory is repetition.","Repetition is memory's mother.","Memory's mother is repetition.","A mother of memory is repetition.","Repetition is a mother of memory.",,,,,
"dē fāmā et fortūnā patriae dīcimus (dīximus).","We speak about the fame and fortune of the fatherland.","We speak about the fame and fortune of the homeland.","We are speaking about the fame and fortune of the fatherland.","We are speaking about the fame and fortune of the homeland.","We spoke about the fame and fortune of the fatherland.","We spoke about the fame and fortune of the homeland.","We have spoken about the fame and fortune of the fatherland.","We have spoken about the fame and fortune of the homeland.","We speak about the homeland's fame and fortune.","We speak about the fatherland's fame and fortune.",
"in Italiā vīxī, sed in Rōmā numquam vīxī.","In Italy I lived, but in Rome I never lived.","I lived in Italy, but I never lived in Rome.","In Italy I lived, but I never lived in Rome.","I lived in Italy, but in Rome I never lived.","I have lived in Italy, but I have never lived in Rome.","In Italy I have lived, but in Rome I have never lived.","I lived in Italy, but I have never lived in Rome.","In Italy I lived, but in Rome I have never lived. ","I did live in Italy, but I never lived in Rome.","In Italy I did live, but in Rome I never lived.",
"quid didicistis? dē sapientiā didicimus.","What did you learn? We learned about wisdom.","What did you all learn? We learned about wisdom.","What have you learned? We learned about wisdom.","What have you all learned? We learned about wisdom.","What did you learn? We have learned about wisdom.","What did you all learn? We have learned about wisdom.","What have you learned? We have learned about wisdom.","What have you all learned? We have learned about wisdom.","What did you learn? We learned about discernment.","What have you learned? We have learned about discernment.",
"quid didicistī? dē sententiīs poētārum didicī.","What did you learn? I learned about the opinions of the poets.","What have you learned? I learned about the opinions of the poets.","What did you learn? I learned about the judgments of the poets.","What have you learned? I learned about the judgments of the poets.","What did you learn? I learned about the ideas of the poets.","What have you learned? I learned about the ideas of the poets.","What did you learn? I have learned about the opinions of the poets.","What have you learned? I have learned about the opinions of the poets.","What did you learn? I have learned about the ideas of the poets.","What have you learned? I have learned about the ideas of the poets.",
"mīsistīne amīcīs dōnum?","Did you send a gift to your friends?","Have you sent a gift to your friends?","Did you send a gift to friends?","Have you sent a gift to friends?",,,,,,,
"dē vītā discunt (didicērunt).","They learn about life.","They are learning about life.","They learned about life.","They have learned about life.","They learn about a way of life.","They are learning about a way of life.","They learned about a way of life.","They have learned about a way of life. ",,,
"tyrannus virōs ex agrīs dūxit et patriam armīs vīcit.","The tyrant led the men from the fields and conquered the fatherland with arms.","The tyrant led the men from the fields and conquered the homeland with arms.","The tyrant led the men from the fields and conquered the fatherland with weapons.","The tyrant led the men from the fields and conquered the homeland with weapons.","The tyrant has led the men from the fields and has conquered the fatherland with arms.","The tyrant has led the men from the fields and has conquered the homeland with arms.","The tyrant has led the men from the fields and has conquered the fatherland with weapons.","The tyrant has led the men from the fields and has conquered the homeland with weapons.","The tyrant led the men from the fields and conquered the fatherland by means of arms.","The tyrant led the men from the fields and conquered the homeland by means of arms.",
"fugite, ō amīcī, īram tyrannī!","Flee, o friends, the rage of the tyrant!","Flee, friends, the rage of the tyrant!","Flee, o friends, the tyrant's rage!","Flee, friends, the tyrant's rage!","Flee, o friends, the anger of the tyrant!","Flee, friends, the anger of the tyrant!","Flee, o friends, the tyrant's anger!","Flee, friends, the tyrant's anger!","Flee, o friends, the ire of the tyrant!","Flee, o friends, the tyrant's ire!",
"Mārcus fīliābus pecūniam mittit (mīsit).","Marcus sends money to his daughters.","Marcus is sending money to his daughters.","Marcus sends money for his daughters.","Marcus is sending money for his daughters.","Marcus sent money to his daughters.","Marcus has sent money to his daughters.","Marcus sent money for his daughters.","Marcus has sent money for his daughters.",,,
"Rōmānī templa dīs fēcērunt (faciunt).","The Romans built temples for the gods.","The Romans have built temples for the gods.","The Romans have made temples for the gods.","The Romans made temples for the gods.","The Romans build temples for the gods.","The Romans are building temples for the gods.","The Romans make temples for the gods.","The Romans are making temples for the gods.","The Romans built temples to the gods.","The Romans build temples to the gods.",
"epistulam amīcīs nōn mīsistis.","You did not send your friends a letter.","You did not send a letter to your friends.","You didn't send your friends a letter.","You didn't send a letter to your friends.","You did not send friends a letter.","You did not send a letter to friends.","You all did not send your friends a letter.","You all did not send a letter to your friends.","You have not sent a letter to your friends.","You have not sent a letter to friends.",
"vir cum numerō amīcōrum bibit.","The man drinks with a number of his friends.","The man drank with a number of his friends.","The man has drunk with a number of his friends.","The man drinks with a number of friends.","The man drank with a number of friends.","The man has drunk with a number of friends.","The man is drinking with a number of his friends.","The man is drinking with a number of friends. ","A man drinks with a number of his friends.","A man drinks with a number of friends.",
"fēminae ex Africā fugiunt (fūgērunt) et in Italiam eunt (iērunt).","The women flee from Africa and go into Italy.","The women flee out of Africa and go into Italy.","The women are fleeing from Africa and going into Italy.","The women fled from Africa and went into Italy.","The women fled out of Africa and went into Italy.","The women have fled from Africa and have gone into Italy.","The women have fled out of Africa and have gone into Italy.","The women are fleeing out of Africa and going into Italy. ","Women flee from Africa and go into Italy.","Women are fleeing from Africa and are going into Italy.",
"in librō dē īrā deōrum lēgimus.","We read about the rage of the gods in a book.","In a book we read about the rage of the gods.","We have read about the rage of the gods in a book.","We read about the anger of the gods in a book.","In a book we read about the anger of the gods.","We have read about the anger of the gods in a book.","In a book we have read about the rage of the gods.","In a book we have read about the anger of the gods.","We are reading about the anger of the gods in a book.","We are reading about the rage of the gods in a book.",
"in templum virī vēnērunt (veniunt).","The men came into the temple.","Men came into the temple.","The men came up to the temple.","Men came up to the temple.","The men come into the temple.","Men come into the temple.","The men come up to the temple.","Men come up to the temple.","The men have come into the temple.","The men are coming into the temple.",
"nōlī nōs tyrannō trādere!","Do not hand us over to the tyrant!","Don't hand us over to the tyrant!","Do not surrender us to the tyrant!","Don't surrender us to the tyrant!","Do not deliver us to the tyrant!","Don't deliver us to the tyrant!","Do not report us to the tyrant!","Don't report us to the tyrant!","Do not hand us over to a tyrant!","Don't hand us over to a tyrant!",
"propter numerum victōriārum deīs et deābus grātiās ēgimus.","We thanked the gods and goddesses on account of a number of victories.","We thanked gods and goddesses on account of the number of victories.","We gave thanks to the gods and goddesses on account of a number of victories.","We gave thanks to gods and goddesses on account of the number of victories.","We have thanked the gods and goddesses on account of a number of victories.","We have thanked gods and goddesses on account of a number of victories.","We thanked the gods and goddesses because of a number of victories.","We thanked gods and goddesses because of a number of victories.","We have thanked the gods and goddesses because of a number of victories.","We have thanked gods and goddesses because of a number of victories.",
"post vīnum, verba.","After wine, words.","After the wine, the words.","After wine, the words.","After the wine, words.","After wine, there are words. ","Words after wine.",,,,,
"nātūra vincit nātūram et dī deōs.","Nature conquers nature and gods conquer gods.","Nature defeats nature and gods defeat gods.","Gods conquer gods and nature conquers nature.","Gods defeat gods and nature defeats nature.","Nature conquers nature and the gods conquer the gods.","Nature defeats nature and the gods defeat the gods.","Nature is conquering nature and gods are conquering gods.","Nature is defeating nature and gods are defeating gods.","Nature is conquering nature and the gods are conquering the gods.","Nature is defeating nature and the gods are defeating the gods.",
"ordo dūcit ad Deum.","The order leads towards God.","The order is leading towards God.","Order leads to God.","Order is leading to God.","Order leads towards God.","Order is leading towards God.","The order leads to God.","The order is leading to God.",,,
"post hoc ergō propter hoc.","After this thing therefore on account of this thing.","After this thing therefore because of this thing.","After this therefore on account of this.","After this therefore because of this.",,,,,,,
"et arma et verba vulnerant.","Both arms and words wound.","Both weapons and words wound.",,,,,,,,,
"ex amīcō inimīcum facit patrimōnium.","Inheritance makes an enemy from a friend.","An inheritance makes an enemy from a friend.","Inheritance is making an enemy from a friend.","An inheritance is making an enemy from a friend.","An inheritance makes an enemy out of a friend.","An inheritance is making an enemy out of a friend.","The inheritance is making an enemy out of a friend.","Inheritance makes an enemy out of a friend.","Inheritance is making an enemy out of a friend.",,
"ēloquentia cōnstat ex verbīs et ex sententiīs.","Eloquence consists of words and opinions.","Eloquence consists of words and judgments.","Eloquence consists of words and ideas.",,,,,,,,
"līberālibus mē studiīs trādidī.","I devoted myself to liberal studies.","I handed myself over to liberal studies.","I surrendered myself to liberal studies.","I delivered myself to liberal studies.","I reported myself to liberal studies.","I have devoted myself to liberal studies.","I have handed myself over to liberal studies.","I have surrendered myself to liberal studies.","I have delivered myself to liberal studies.","I have reported myself to liberal studies.",
